regno,rno,sname,br,sem,e1_cid,e2_cid,e3_cid
MUT22CY001,1,ARUN,CY,7,CY166A,CY166B,CY166C
MUT22CY002,2,BHAVYA,CY,7,CY167A,CY167B,CY167C
MUT22CY003,3,CHARAN,CY,7,CY168A,CY168B,CY168C
MUT22CY004,4,DEVIKA,CY,7,CY169A,CY169B,CY169C
MUT22CY005,5,EMIL,CY,7,CY170A,CY170B,CY170C
MUT22CY006,6,FARHAN,CY,7,CY171A,CY171B,CY171C
MUT22CY007,7,GOPI,CY,7,CY172A,CY172B,CY172C
MUT22CY008,8,HARITHA,CY,7,CY173A,CY173B,CY173C
MUT22CY009,9,IRFAN,CY,7,CY174A,CY174B,CY174C
MUT22CY010,10,JENNY,CY,7,CY175A,CY175B,CY175C
MUT22CY011,11,KIRAN,CY,7,CY176A,CY176B,CY176C
MUT22CY012,12,LIYA,CY,7,CY177A,CY177B,CY177C
MUT22CY013,13,MANOJ,CY,7,CY178A,CY178B,CY178C
MUT22CY014,14,NEHA,CY,7,CY179A,CY179B,CY179C
MUT22CY015,15,OMKAR,CY,7,CY180A,CY180B,CY180C
MUT22CY016,16,POOJA,CY,7,CY181A,CY181B,CY181C
MUT22CY017,17,QURAT,CY,7,CY182A,CY182B,CY182C
MUT22CY018,18,RAHUL,CY,7,CY183A,CY183B,CY183C
MUT22CY019,19,SARATH,CY,7,CY184A,CY184B,CY184C
MUT22CY020,20,TESSA,CY,7,CY185A,CY185B,CY185C
MUT22CY021,21,UDAY,CY,7,CY186A,CY186B,CY186C
MUT22CY022,22,VARUN,CY,7,CY187A,CY187B,CY187C
MUT22CY023,23,WAFI,CY,7,CY188A,CY188B,CY188C
MUT22CY024,24,XENA,CY,7,CY189A,CY189B,CY189C
MUT22CY025,25,YADHU,CY,7,CY190A,CY190B,CY190C
MUT22CY026,26,ZIYA,CY,7,CY191A,CY191B,CY191C
MUT22CY027,27,ASWIN,CY,7,CY192A,CY192B,CY192C
MUT22CY028,28,BALU,CY,7,CY193A,CY193B,CY193C
MUT22CY029,29,CHAYA,CY,7,CY194A,CY194B,CY194C
MUT22CY030,30,DEEPA,CY,7,CY195A,CY195B,CY195C
MUT22CY031,31,ELVIN,CY,7,CY196A,CY196B,CY196C
MUT22CY032,32,FEMINA,CY,7,CY197A,CY197B,CY197C
MUT22CY033,33,GOKUL,CY,7,CY198A,CY198B,CY198C
MUT22CY034,34,HARI,CY,7,CY199A,CY199B,CY199C
MUT22CY035,35,INDU,CY,7,CY200A,CY200B,CY200C
MUT22CY036,36,JISHNU,CY,7,CY201A,CY201B,CY201C
MUT22CY037,37,KEERTHY,CY,7,CY202A,CY202B,CY202C
MUT22CY038,38,LAL,CY,7,CY203A,CY203B,CY203C
MUT22CY039,39,MEERA,CY,7,CY204A,CY204B,CY204C
MUT22CY040,40,NIKHIL,CY,7,CY205A,CY205B,CY205C
MUT22CY041,41,OLIVE,CY,7,CY206A,CY206B,CY206C
MUT22CY042,42,PRANAV,CY,7,CY207A,CY207B,CY207C
MUT22CY043,43,QUEENY,CY,7,CY208A,CY208B,CY208C
MUT22CY044,44,ROHAN,CY,7,CY209A,CY209B,CY209C
MUT22CY045,45,SHEENA,CY,7,CY210A,CY210B,CY210C
MUT22CY046,46,TARUN,CY,7,CY211A,CY211B,CY211C
MUT22CY047,47,UMA,CY,7,CY212A,CY212B,CY212C
MUT22CY048,48,VISHNU,CY,7,CY213A,CY213B,CY213C
MUT22CY049,49,WILMA,CY,7,CY214A,CY214B,CY214C
MUT22CY050,50,XAVIER,CY,7,CY215A,CY215B,CY215C
MUT22CY051,51,YASIR,CY,7,CY216A,CY216B,CY216C
MUT22CY052,52,ZARA,CY,7,CY217A,CY217B,CY217C
MUT22CY053,53,AARON,CY,7,CY218A,CY218B,CY218C
MUT22CY054,54,BINDU,CY,7,CY219A,CY219B,CY219C
MUT22CY055,55,CATHY,CY,7,CY220A,CY220B,CY220C
MUT22CY001,56,ARUN,CY,7,CY166A,CY166B,CY166C
MUT22CY002,57,BHAVYA,CY,7,CY167A,CY167B,CY167C
MUT22CY003,58,CHARAN,CY,7,CY168A,CY168B,CY168C
MUT22CY004,59,DEVIKA,CY,7,CY169A,CY169B,CY169C
MUT22CY005,60,EMIL,CY,7,CY170A,CY170B,CY170C
MUT22CY006,61,FARHAN,CY,7,CY171A,CY171B,CY171C
MUT22CY007,62,GOPI,CY,7,CY172A,CY172B,CY172C
MUT22CY008,63,HARITHA,CY,7,CY173A,CY173B,CY173C
MUT22CY009,64,IRFAN,CY,7,CY174A,CY174B,CY174C
MUT22CY010,65,JENNY,CY,7,CY175A,CY175B,CY175C
