regno,rno,sname,br,sem,e1_cid,e2_cid,e3_cid
MUT22EE001,1,ARUN,EEE,7,EE133A,EE133B,EE133C
MUT22EE002,2,BHAVYA,EEE,7,EE134A,EE134B,EE134C
MUT22EE003,3,CHARAN,EEE,7,EE135A,EE135B,EE135C
MUT22EE004,4,DEVIKA,EEE,7,EE136A,EE136B,EE136C
MUT22EE005,5,EMIL,EEE,7,EE137A,EE137B,EE137C
MUT22EE006,6,FARHAN,EEE,7,EE138A,EE138B,EE138C
MUT22EE007,7,GOPI,EEE,7,EE139A,EE139B,EE139C
MUT22EE008,8,HARITHA,EEE,7,EE140A,EE140B,EE140C
MUT22EE009,9,IRFAN,EEE,7,EE141A,EE141B,EE141C
MUT22EE010,10,JENNY,EEE,7,EE142A,EE142B,EE142C
MUT22EE011,11,KIRAN,EEE,7,EE143A,EE143B,EE143C
MUT22EE012,12,LIYA,EEE,7,EE144A,EE144B,EE144C
MUT22EE013,13,MANOJ,EEE,7,EE145A,EE145B,EE145C
MUT22EE014,14,NEHA,EEE,7,EE146A,EE146B,EE146C
MUT22EE015,15,OMKAR,EEE,7,EE147A,EE147B,EE147C
MUT22EE016,16,POOJA,EEE,7,EE148A,EE148B,EE148C
MUT22EE017,17,QURAT,EEE,7,EE149A,EE149B,EE149C
MUT22EE018,18,RAHUL,EEE,7,EE150A,EE150B,EE150C
MUT22EE019,19,SARATH,EEE,7,EE151A,EE151B,EE151C
MUT22EE020,20,TESSA,EEE,7,EE152A,EE152B,EE152C
MUT22EE021,21,UDAY,EEE,7,EE153A,EE153B,EE153C
MUT22EE022,22,VARUN,EEE,7,EE154A,EE154B,EE154C
MUT22EE023,23,WAFI,EEE,7,EE155A,EE155B,EE155C
MUT22EE024,24,XENA,EEE,7,EE156A,EE156B,EE156C
MUT22EE025,25,YADHU,EEE,7,EE157A,EE157B,EE157C
MUT22EE026,26,ZIYA,EEE,7,EE158A,EE158B,EE158C
MUT22EE027,27,ASWIN,EEE,7,EE159A,EE159B,EE159C
MUT22EE028,28,BALU,EEE,7,EE160A,EE160B,EE160C
MUT22EE029,29,CHAYA,EEE,7,EE161A,EE161B,EE161C
MUT22EE030,30,DEEPA,EEE,7,EE162A,EE162B,EE162C
MUT22EE031,31,ELVIN,EEE,7,EE163A,EE163B,EE163C
MUT22EE032,32,FEMINA,EEE,7,EE164A,EE164B,EE164C
MUT22EE033,33,GOKUL,EEE,7,EE165A,EE165B,EE165C
MUT22EE034,34,HARI,EEE,7,EE166A,EE166B,EE166C
MUT22EE035,35,INDU,EEE,7,EE167A,EE167B,EE167C
MUT22EE036,36,JISHNU,EEE,7,EE168A,EE168B,EE168C
MUT22EE037,37,KEERTHY,EEE,7,EE169A,EE169B,EE169C
MUT22EE038,38,LAL,EEE,7,EE170A,EE170B,EE170C
MUT22EE039,39,MEERA,EEE,7,EE171A,EE171B,EE171C
MUT22EE040,40,NIKHIL,EEE,7,EE172A,EE172B,EE172C
MUT22EE041,41,OLIVE,EEE,7,EE173A,EE173B,EE173C
MUT22EE042,42,PRANAV,EEE,7,EE174A,EE174B,EE174C
MUT22EE043,43,QUEENY,EEE,7,EE175A,EE175B,EE175C
MUT22EE044,44,ROHAN,EEE,7,EE176A,EE176B,EE176C
MUT22EE045,45,SHEENA,EEE,7,EE177A,EE177B,EE177C
MUT22EE046,46,TARUN,EEE,7,EE178A,EE178B,EE178C
MUT22EE001,47,ARUN,EEE,7,EE133A,EE133B,EE133C
MUT22EE002,48,BHAVYA,EEE,7,EE134A,EE134B,EE134C
MUT22EE003,49,CHARAN,EEE,7,EE135A,EE135B,EE135C
MUT22EE004,50,DEVIKA,EEE,7,EE136A,EE136B,EE136C
MUT22EE005,51,EMIL,EEE,7,EE137A,EE137B,EE137C
MUT22EE006,52,FARHAN,EEE,7,EE138A,EE138B,EE138C
MUT22EE007,53,GOPI,EEE,7,EE139A,EE139B,EE139C
MUT22EE008,54,HARITHA,EEE,7,EE140A,EE140B,EE140C
MUT22EE009,55,IRFAN,EEE,7,EE141A,EE141B,EE141C
MUT22EE010,56,JENNY,EEE,7,EE142A,EE142B,EE142C
MUT22EE011,57,KIRAN,EEE,7,EE143A,EE143B,EE143C
MUT22EE012,58,LIYA,EEE,7,EE144A,EE144B,EE144C
MUT22EE013,59,MANOJ,EEE,7,EE145A,EE145B,EE145C
MUT22EE014,60,NEHA,EEE,7,EE146A,EE146B,EE146C
MUT22EE015,61,OMKAR,EEE,7,EE147A,EE147B,EE147C
MUT22EE016,62,POOJA,EEE,7,EE148A,EE148B,EE148C
MUT22EE017,63,QURAT,EEE,7,EE149A,EE149B,EE149C
MUT22EE018,64,RAHUL,EEE,7,EE150A,EE150B,EE150C
MUT22EE019,65,SARATH,EEE,7,EE151A,EE151B,EE151C
MUT22EE020,66,TESSA,EEE,7,EE152A,EE152B,EE152C
MUT22EE021,67,UDAY,EEE,7,EE153A,EE153B,EE153C
MUT22EE022,68,VARUN,EEE,7,EE154A,EE154B,EE154C
MUT22EE023,69,WAFI,EEE,7,EE155A,EE155B,EE155C
MUT22EE024,70,XENA,EEE,7,EE156A,EE156B,EE156C
MUT22EE025,71,YADHU,EEE,7,EE157A,EE157B,EE157C
MUT22EE026,72,ZIYA,EEE,7,EE158A,EE158B,EE158C
MUT22EE027,73,ASWIN,EEE,7,EE159A,EE159B,EE159C
MUT22EE028,74,BALU,EEE,7,EE160A,EE160B,EE160C
MUT22EE029,75,CHAYA,EEE,7,EE161A,EE161B,EE161C
