regno,rno,sname,br,sem,e1_cid,e2_cid,e3_cid
MUT22EC001,1,ARUN,ECE,7,EC133A,EC133B,EC133C
MUT22EC002,2,BHAVYA,ECE,7,EC134A,EC134B,EC134C
MUT22EC003,3,CHARAN,ECE,7,EC135A,EC135B,EC135C
MUT22EC004,4,DEVIKA,ECE,7,EC136A,EC136B,EC136C
MUT22EC005,5,EMIL,ECE,7,EC137A,EC137B,EC137C
MUT22EC006,6,FARHAN,ECE,7,EC138A,EC138B,EC138C
MUT22EC007,7,GOPI,ECE,7,EC139A,EC139B,EC139C
MUT22EC008,8,HARITHA,ECE,7,EC140A,EC140B,EC140C
MUT22EC009,9,IRFAN,ECE,7,EC141A,EC141B,EC141C
MUT22EC010,10,JENNY,ECE,7,EC142A,EC142B,EC142C
MUT22EC011,11,KIRAN,ECE,7,EC143A,EC143B,EC143C
MUT22EC012,12,LIYA,ECE,7,EC144A,EC144B,EC144C
MUT22EC013,13,MANOJ,ECE,7,EC145A,EC145B,EC145C
MUT22EC014,14,NEHA,ECE,7,EC146A,EC146B,EC146C
MUT22EC015,15,OMKAR,ECE,7,EC147A,EC147B,EC147C
MUT22EC016,16,POOJA,ECE,7,EC148A,EC148B,EC148C
MUT22EC017,17,QURAT,ECE,7,EC149A,EC149B,EC149C
MUT22EC018,18,RAHUL,ECE,7,EC150A,EC150B,EC150C
MUT22EC019,19,SARATH,ECE,7,EC151A,EC151B,EC151C
MUT22EC020,20,TESSA,ECE,7,EC152A,EC152B,EC152C
MUT22EC021,21,UDAY,ECE,7,EC153A,EC153B,EC153C
MUT22EC022,22,VARUN,ECE,7,EC154A,EC154B,EC154C
MUT22EC023,23,WAFI,ECE,7,EC155A,EC155B,EC155C
MUT22EC024,24,XENA,ECE,7,EC156A,EC156B,EC156C
MUT22EC025,25,YADHU,ECE,7,EC157A,EC157B,EC157C
MUT22EC026,26,ZIYA,ECE,7,EC158A,EC158B,EC158C
MUT22EC027,27,ASWIN,ECE,7,EC159A,EC159B,EC159C
MUT22EC028,28,BALU,ECE,7,EC160A,EC160B,EC160C
MUT22EC029,29,CHAYA,ECE,7,EC161A,EC161B,EC161C
MUT22EC030,30,DEEPA,ECE,7,EC162A,EC162B,EC162C
MUT22EC031,31,ELVIN,ECE,7,EC163A,EC163B,EC163C
MUT22EC032,32,FEMINA,ECE,7,EC164A,EC164B,EC164C
MUT22EC033,33,GOKUL,ECE,7,EC165A,EC165B,EC165C
MUT22EC034,34,HARI,ECE,7,EC166A,EC166B,EC166C
MUT22EC035,35,INDU,ECE,7,EC167A,EC167B,EC167C
MUT22EC036,36,JISHNU,ECE,7,EC168A,EC168B,EC168C
MUT22EC037,37,KEERTHY,ECE,7,EC169A,EC169B,EC169C
MUT22EC038,38,LAL,ECE,7,EC170A,EC170B,EC170C
MUT22EC039,39,MEERA,ECE,7,EC171A,EC171B,EC171C
MUT22EC040,40,NIKHIL,ECE,7,EC172A,EC172B,EC172C
MUT22EC041,41,OLIVE,ECE,7,EC173A,EC173B,EC173C
MUT22EC042,42,PRANAV,ECE,7,EC174A,EC174B,EC174C
MUT22EC043,43,QUEENY,ECE,7,EC175A,EC175B,EC175C
MUT22EC044,44,ROHAN,ECE,7,EC176A,EC176B,EC176C
MUT22EC045,45,SHEENA,ECE,7,EC177A,EC177B,EC177C
MUT22EC046,46,TARUN,ECE,7,EC178A,EC178B,EC178C
MUT22EC001,47,ARUN,ECE,7,EC133A,EC133B,EC133C
MUT22EC002,48,BHAVYA,ECE,7,EC134A,EC134B,EC134C
MUT22EC003,49,CHARAN,ECE,7,EC135A,EC135B,EC135C
MUT22EC004,50,DEVIKA,ECE,7,EC136A,EC136B,EC136C
MUT22EC005,51,EMIL,ECE,7,EC137A,EC137B,EC137C
MUT22EC006,52,FARHAN,ECE,7,EC138A,EC138B,EC138C
MUT22EC007,53,GOPI,ECE,7,EC139A,EC139B,EC139C
MUT22EC008,54,HARITHA,ECE,7,EC140A,EC140B,EC140C
MUT22EC009,55,IRFAN,ECE,7,EC141A,EC141B,EC141C
MUT22EC010,56,JENNY,ECE,7,EC142A,EC142B,EC142C
MUT22EC011,57,KIRAN,ECE,7,EC143A,EC143B,EC143C
MUT22EC012,58,LIYA,ECE,7,EC144A,EC144B,EC144C
MUT22EC013,59,MANOJ,ECE,7,EC145A,EC145B,EC145C
MUT22EC014,60,NEHA,ECE,7,EC146A,EC146B,EC146C
MUT22EC015,61,OMKAR,ECE,7,EC147A,EC147B,EC147C
MUT22EC016,62,POOJA,ECE,7,EC148A,EC148B,EC148C
MUT22EC017,63,QURAT,ECE,7,EC149A,EC149B,EC149C
MUT22EC018,64,RAHUL,ECE,7,EC150A,EC150B,EC150C
MUT22EC019,65,SARATH,ECE,7,EC151A,EC151B,EC151C
MUT22EC047,47,SARATH,ECE,7,EC151A,EC151B,EC151C
MUT22EC048,48,SARATH,ECE,7,EC151A,EC151B,EC151C
