regno,rno,sname,br,sem,e1_cid,e2_cid,e3_cid
MUT23AI001,1,ARUN,CSE AI,5,AI166A,AI166B,AI166C
MUT23AI002,2,BHAVYA,CSE AI,5,AI167A,AI167B,AI167C
MUT23AI003,3,CHARAN,CSE AI,5,AI168A,AI168B,AI168C
MUT23AI004,4,DEVIKA,CSE AI,5,AI169A,AI169B,AI169C
MUT23AI005,5,EMIL,CSE AI,5,AI170A,AI170B,AI170C
MUT23AI006,6,FARHAN,CSE AI,5,AI171A,AI171B,AI171C
MUT23AI007,7,GOPI,CSE AI,5,AI172A,AI172B,AI172C
MUT23AI008,8,HARITHA,CSE AI,5,AI173A,AI173B,AI173C
MUT23AI009,9,IRFAN,CSE AI,5,AI174A,AI174B,AI174C
MUT23AI010,10,JENNY,CSE AI,5,AI175A,AI175B,AI175C
MUT23AI011,11,KIRAN,CSE AI,5,AI176A,AI176B,AI176C
MUT23AI012,12,LIYA,CSE AI,5,AI177A,AI177B,AI177C
MUT23AI013,13,MANOJ,CSE AI,5,AI178A,AI178B,AI178C
MUT23AI014,14,NEHA,CSE AI,5,AI179A,AI179B,AI179C
MUT23AI015,15,OMKAR,CSE AI,5,AI180A,AI180B,AI180C
MUT23AI016,16,POOJA,CSE AI,5,AI181A,AI181B,AI181C
MUT23AI017,17,QURAT,CSE AI,5,AI182A,AI182B,AI182C
MUT23AI018,18,RAHUL,CSE AI,5,AI183A,AI183B,AI183C
MUT23AI019,19,SARATH,CSE AI,5,AI184A,AI184B,AI184C
MUT23AI020,20,TESSA,CSE AI,5,AI185A,AI185B,AI185C
MUT23AI021,21,UDAY,CSE AI,5,AI186A,AI186B,AI186C
MUT23AI022,22,VARUN,CSE AI,5,AI187A,AI187B,AI187C
MUT23AI023,23,WAFI,CSE AI,5,AI188A,AI188B,AI188C
MUT23AI024,24,XENA,CSE AI,5,AI189A,AI189B,AI189C
MUT23AI025,25,YADHU,CSE AI,5,AI190A,AI190B,AI190C
MUT23AI026,26,ZIYA,CSE AI,5,AI191A,AI191B,AI191C
MUT23AI027,27,ASWIN,CSE AI,5,AI192A,AI192B,AI192C
MUT23AI028,28,BALU,CSE AI,5,AI193A,AI193B,AI193C
MUT23AI029,29,CHAYA,CSE AI,5,AI194A,AI194B,AI194C
MUT23AI030,30,DEEPA,CSE AI,5,AI195A,AI195B,AI195C
MUT23AI031,31,ELVIN,CSE AI,5,AI196A,AI196B,AI196C
MUT23AI032,32,FEMINA,CSE AI,5,AI197A,AI197B,AI197C
MUT23AI033,33,GOKUL,CSE AI,5,AI198A,AI198B,AI198C
MUT23AI034,34,HARI,CSE AI,5,AI199A,AI199B,AI199C
MUT23AI035,35,INDU,CSE AI,5,AI200A,AI200B,AI200C
MUT23AI036,36,JISHNU,CSE AI,5,AI201A,AI201B,AI201C
MUT23AI037,37,KEERTHY,CSE AI,5,AI202A,AI202B,AI202C
MUT23AI038,38,LAL,CSE AI,5,AI203A,AI203B,AI203C
MUT23AI039,39,MEERA,CSE AI,5,AI204A,AI204B,AI204C
MUT23AI040,40,NIKHIL,CSE AI,5,AI205A,AI205B,AI205C
MUT23AI041,41,OLIVE,CSE AI,5,AI206A,AI206B,AI206C
MUT23AI042,42,PRANAV,CSE AI,5,AI207A,AI207B,AI207C
MUT23AI043,43,QUEENY,CSE AI,5,AI208A,AI208B,AI208C
MUT23AI044,44,ROHAN,CSE AI,5,AI209A,AI209B,AI209C
MUT23AI045,45,SHEENA,CSE AI,5,AI210A,AI210B,AI210C
MUT23AI046,46,TARUN,CSE AI,5,AI211A,AI211B,AI211C
MUT23AI047,47,UMA,CSE AI,5,AI212A,AI212B,AI212C
MUT23AI048,48,VISHNU,CSE AI,5,AI213A,AI213B,AI213C
MUT23AI049,49,WILMA,CSE AI,5,AI214A,AI214B,AI214C
MUT23AI050,50,XAVIER,CSE AI,5,AI215A,AI215B,AI215C
MUT23AI051,51,YASIR,CSE AI,5,AI216A,AI216B,AI216C
MUT23AI052,52,ZARA,CSE AI,5,AI217A,AI217B,AI217C
MUT23AI053,53,AARON,CSE AI,5,AI218A,AI218B,AI218C
MUT23AI054,54,BINDU,CSE AI,5,AI219A,AI219B,AI219C
MUT23AI055,55,CATHY,CSE AI,5,AI220A,AI220B,AI220C
MUT23AI056,56,ARUN,CSE AI,5,AI166A,AI166B,AI166C
MUT23AI002,57,BHAVYA,CSE AI,5,AI167A,AI167B,AI167C
MUT23AI003,58,CHARAN,CSE AI,5,AI168A,AI168B,AI168C
MUT23AI004,59,DEVIKA,CSE AI,5,AI169A,AI169B,AI169C
MUT23AI005,60,EMIL,CSE AI,5,AI170A,AI170B,AI170C
MUT23AI006,61,FARHAN,CSE AI,5,AI171A,AI171B,AI171C
MUT23AI007,62,GOPI,CSE AI,5,AI172A,AI172B,AI172C
MUT23AI008,63,HARITHA,CSE AI,5,AI173A,AI173B,AI173C
MUT23AI009,64,IRFAN,CSE AI,5,AI174A,AI174B,AI174C
MUT23AI010,65,JENNY,CSE AI,5,AI175A,AI175B,AI175C
MUT23AI011,66,KIRAN,CSE AI,5,AI176A,AI176B,AI176C
MUT23AI012,67,LIYA,CSE AI,5,AI177A,AI177B,AI177C
MUT23AI013,68,MANOJ,CSE AI,5,AI178A,AI178B,AI178C
MUT23AI014,69,NEHA,CSE AI,5,AI179A,AI179B,AI179C
MUT23AI015,70,OMKAR,CSE AI,5,AI180A,AI180B,AI180C
MUT23AI016,71,POOJA,CSE AI,5,AI181A,AI181B,AI181C
MUT23AI017,72,QURAT,CSE AI,5,AI182A,AI182B,AI182C
MUT23AI018,73,RAHUL,CSE AI,5,AI183A,AI183B,AI183C
MUT23AI019,74,SARATH,CSE AI,5,AI184A,AI184B,AI184C
MUT23AI020,75,TESSA,CSE AI,5,AI185A,AI185B,AI185C
