regno,rno,sname,br,sem,e1_cid,e2_cid,e3_cid
MUT23AD001,1,ARUN,AIDS,5,AD166A,AD166B,AD166C
MUT23AD002,2,BHAVYA,AIDS,5,AD167A,AD167B,AD167C
MUT23AD003,3,CHARAN,AIDS,5,AD168A,AD168B,AD168C
MUT23AD004,4,DEVIKA,AIDS,5,AD169A,AD169B,AD169C
MUT23AD005,5,EMIL,AIDS,5,AD170A,AD170B,AD170C
MUT23AD006,6,FARHAN,AIDS,5,AD171A,AD171B,AD171C
MUT23AD007,7,GOPI,AIDS,5,AD172A,AD172B,AD172C
MUT23AD008,8,HARITHA,AIDS,5,AD173A,AD173B,AD173C
MUT23AD009,9,IRFAN,AIDS,5,AD174A,AD174B,AD174C
MUT23AD010,10,JENNY,AIDS,5,AD175A,AD175B,AD175C
MUT23AD011,11,KIRAN,AIDS,5,AD176A,AD176B,AD176C
MUT23AD012,12,LIYA,AIDS,5,AD177A,AD177B,AD177C
MUT23AD013,13,MANOJ,AIDS,5,AD178A,AD178B,AD178C
MUT23AD014,14,NEHA,AIDS,5,AD179A,AD179B,AD179C
MUT23AD015,15,OMKAR,AIDS,5,AD180A,AD180B,AD180C
MUT23AD016,16,POOJA,AIDS,5,AD181A,AD181B,AD181C
MUT23AD017,17,QURAT,AIDS,5,AD182A,AD182B,AD182C
MUT23AD018,18,RAHUL,AIDS,5,AD183A,AD183B,AD183C
MUT23AD019,19,SARATH,AIDS,5,AD184A,AD184B,AD184C
MUT23AD020,20,TESSA,AIDS,5,AD185A,AD185B,AD185C
MUT23AD021,21,UDAY,AIDS,5,AD186A,AD186B,AD186C
MUT23AD022,22,VARUN,AIDS,5,AD187A,AD187B,AD187C
MUT23AD023,23,WAFI,AIDS,5,AD188A,AD188B,AD188C
MUT23AD024,24,XENA,AIDS,5,AD189A,AD189B,AD189C
MUT23AD025,25,YADHU,AIDS,5,AD190A,AD190B,AD190C
MUT23AD026,26,ZIYA,AIDS,5,AD191A,AD191B,AD191C
MUT23AD027,27,ASWIN,AIDS,5,AD192A,AD192B,AD192C
MUT23AD028,28,BALU,AIDS,5,AD193A,AD193B,AD193C
MUT23AD029,29,CHAYA,AIDS,5,AD194A,AD194B,AD194C
MUT23AD030,30,DEEPA,AIDS,5,AD195A,AD195B,AD195C
MUT23AD031,31,ELVIN,AIDS,5,AD196A,AD196B,AD196C
MUT23AD032,32,FEMINA,AIDS,5,AD197A,AD197B,AD197C
MUT23AD033,33,GOKUL,AIDS,5,AD198A,AD198B,AD198C
MUT23AD034,34,HARI,AIDS,5,AD199A,AD199B,AD199C
MUT23AD035,35,INDU,AIDS,5,AD200A,AD200B,AD200C
MUT23AD036,36,JISHNU,AIDS,5,AD201A,AD201B,AD201C
MUT23AD037,37,KEERTHY,AIDS,5,AD202A,AD202B,AD202C
MUT23AD038,38,LAL,AIDS,5,AD203A,AD203B,AD203C
MUT23AD039,39,MEERA,AIDS,5,AD204A,AD204B,AD204C
MUT23AD040,40,NIKHIL,AIDS,5,AD205A,AD205B,AD205C
MUT23AD041,41,OLIVE,AIDS,5,AD206A,AD206B,AD206C
MUT23AD042,42,PRANAV,AIDS,5,AD207A,AD207B,AD207C
MUT23AD043,43,QUEENY,AIDS,5,AD208A,AD208B,AD208C
MUT23AD044,44,ROHAN,AIDS,5,AD209A,AD209B,AD209C
MUT23AD045,45,SHEENA,AIDS,5,AD210A,AD210B,AD210C
MUT23AD046,46,TARUN,AIDS,5,AD211A,AD211B,AD211C
MUT23AD047,47,UMA,AIDS,5,AD212A,AD212B,AD212C
MUT23AD048,48,VISHNU,AIDS,5,AD213A,AD213B,AD213C
MUT23AD049,49,WILMA,AIDS,5,AD214A,AD214B,AD214C
MUT23AD050,50,XAVIER,AIDS,5,AD215A,AD215B,AD215C
MUT23AD051,51,YASIR,AIDS,5,AD216A,AD216B,AD216C
MUT23AD052,52,ZARA,AIDS,5,AD217A,AD217B,AD217C
