regno,rno,sname,br,sem,e1_cid,e2_cid,e3_cid
MUT23CB001,1,ARUN,CSE B,5,CB166A,CB166B,CB166C
MUT23CB002,2,BHAVYA,CSE B,5,CB167A,CB167B,CB167C
MUT23CB003,3,CHARAN,CSE B,5,CB168A,CB168B,CB168C
MUT23CB004,4,DEVIKA,CSE B,5,CB169A,CB169B,CB169C
MUT23CB005,5,EMIL,CSE B,5,CB170A,CB170B,CB170C
MUT23CB006,6,FARHAN,CSE B,5,CB171A,CB171B,CB171C
MUT23CB007,7,GOPI,CSE B,5,CB172A,CB172B,CB172C
MUT23CB008,8,HARITHA,CSE B,5,CB173A,CB173B,CB173C
MUT23CB009,9,IRFAN,CSE B,5,CB174A,CB174B,CB174C
MUT23CB010,10,JENNY,CSE B,5,CB175A,CB175B,CB175C
MUT23CB011,11,KIRAN,CSE B,5,CB176A,CB176B,CB176C
MUT23CB012,12,LIYA,CSE B,5,CB177A,CB177B,CB177C
MUT23CB013,13,MANOJ,CSE B,5,CB178A,CB178B,CB178C
MUT23CB014,14,NEHA,CSE B,5,CB179A,CB179B,CB179C
MUT23CB015,15,OMKAR,CSE B,5,CB180A,CB180B,CB180C
MUT23CB016,16,POOJA,CSE B,5,CB181A,CB181B,CB181C
MUT23CB017,17,QURAT,CSE B,5,CB182A,CB182B,CB182C
MUT23CB018,18,RAHUL,CSE B,5,CB183A,CB183B,CB183C
MUT23CB019,19,SARATH,CSE B,5,CB184A,CB184B,CB184C
MUT23CB020,20,TESSA,CSE B,5,CB185A,CB185B,CB185C
MUT23CB021,21,UDAY,CSE B,5,CB186A,CB186B,CB186C
MUT23CB022,22,VARUN,CSE B,5,CB187A,CB187B,CB187C
MUT23CB023,23,WAFI,CSE B,5,CB188A,CB188B,CB188C
MUT23CB024,24,XENA,CSE B,5,CB189A,CB189B,CB189C
MUT23CB025,25,YADHU,CSE B,5,CB190A,CB190B,CB190C
MUT23CB026,26,ZIYA,CSE B,5,CB191A,CB191B,CB191C
MUT23CB027,27,ASWIN,CSE B,5,CB192A,CB192B,CB192C
MUT23CB028,28,BALU,CSE B,5,CB193A,CB193B,CB193C
MUT23CB029,29,CHAYA,CSE B,5,CB194A,CB194B,CB194C
MUT23CB030,30,DEEPA,CSE B,5,CB195A,CB195B,CB195C
MUT23CB031,31,ELVIN,CSE B,5,CB196A,CB196B,CB196C
MUT23CB032,32,FEMINA,CSE B,5,CB197A,CB197B,CB197C
MUT23CB033,33,GOKUL,CSE B,5,CB198A,CB198B,CB198C
MUT23CB034,34,HARI,CSE B,5,CB199A,CB199B,CB199C
MUT23CB035,35,INDU,CSE B,5,CB200A,CB200B,CB200C
MUT23CB036,36,JISHNU,CSE B,5,CB201A,CB201B,CB201C
MUT23CB037,37,KEERTHY,CSE B,5,CB202A,CB202B,CB202C
MUT23CB038,38,LAL,CSE B,5,CB203A,CB203B,CB203C
MUT23CB039,39,MEERA,CSE B,5,CB204A,CB204B,CB204C
MUT23CB040,40,NIKHIL,CSE B,5,CB205A,CB205B,CB205C
MUT23CB041,41,OLIVE,CSE B,5,CB206A,CB206B,CB206C
MUT23CB042,42,PRANAV,CSE B,5,CB207A,CB207B,CB207C
MUT23CB043,43,QUEENY,CSE B,5,CB208A,CB208B,CB208C
MUT23CB044,44,ROHAN,CSE B,5,CB209A,CB209B,CB209C
MUT23CB045,45,SHEENA,CSE B,5,CB210A,CB210B,CB210C
MUT23CB046,46,TARUN,CSE B,5,CB211A,CB211B,CB211C
MUT23CB047,47,UMA,CSE B,5,CB212A,CB212B,CB212C
MUT23CB048,48,VISHNU,CSE B,5,CB213A,CB213B,CB213C
MUT23CB049,49,WILMA,CSE B,5,CB214A,CB214B,CB214C
